sequence_id	species	length	candidate
Cele__WBGene00004214	Cele	668	0
Dmel__GeneID_45278	Dmel	945	0
Hsap__GeneID_5777	Hsap	624	0
Hsap__GeneID_5781	Hsap	597	0
Mmus__GeneID_15170	Mmus	597	0
Mmus__GeneID_19247	Mmus	597	0
Shae__MS3_00005553	Shae	789	0
Shae__MS3_00009248	Shae	333	1
Sjap__EWB00_009457	Sjap	160	0
Sjap__EWB00_010024	Sjap	424	0
Sman__Smp_035390	Sman	786	0
Xlae__GeneID_100380954	Xlae	587	0
Xlae__GeneID_108697240	Xlae	526	0
Xlae__GeneID_108697335	Xlae	687	0
Xlae__GeneID_108716965	Xlae	608	0
Xlae__GeneID_399291	Xlae	595	0
Xlae__GeneID_444193	Xlae	594	0
