sequence_id	species	length	candidate
Cele__WBGene00007944	Cele	1471	0
Dmel__GeneID_34987	Dmel	2064	0
Hsap__GeneID_22862	Hsap	1198	0
Hsap__GeneID_64778	Hsap	1204	0
Mmus__GeneID_319448	Mmus	1198	0
Mmus__GeneID_331491	Mmus	941	0
Mmus__GeneID_333564	Mmus	1356	0
Mmus__GeneID_72007	Mmus	1207	0
Shae__MS3_00010503	Shae	2946	1
Sjap__EWB00_006448	Sjap	2696	1
Sman__Smp_266820	Sman	2934	1
Xlae__GeneID_108700166	Xlae	1205	0
Xlae__GeneID_108708664	Xlae	1200	0
Xlae__GeneID_108709916	Xlae	1202	0
Xlae__GeneID_108717008	Xlae	1204	0
Xlae__GeneID_108718096	Xlae	1205	0
Xlae__GeneID_446899	Xlae	1205	0
