branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	76.4/73	5	Dmel,Hsap,Mmus,Xlae	Dmel__GeneID_44097,Dmel__GeneID_44129,Hsap__GeneID_4868,Mmus__GeneID_54631,Xlae__GeneID_734213	0		unrooted split; no ancestry or duplication timing assigned
B0003	100/100	2	Dmel	Dmel__GeneID_44097,Dmel__GeneID_44129	0		unrooted split; no ancestry or duplication timing assigned
B0004	100/100	3	Hsap,Mmus,Xlae	Hsap__GeneID_4868,Mmus__GeneID_54631,Xlae__GeneID_734213	0		unrooted split; no ancestry or duplication timing assigned
B0005	100/100	2	Hsap,Mmus	Hsap__GeneID_4868,Mmus__GeneID_54631	0		unrooted split; no ancestry or duplication timing assigned
B0006	100/100	7	Shae,Sjap,Sman	Shae__MS3_00001568,Shae__MS3_00006635,Sjap__EWB00_004279,Sjap__EWB00_006815,Sjap__EWB00_006816,Sman__Smp_130070,Sman__Smp_132700	0		unrooted split; no ancestry or duplication timing assigned
B0007	100/100	3	Shae,Sjap,Sman	Shae__MS3_00001568,Sjap__EWB00_004279,Sman__Smp_132700	0		unrooted split; no ancestry or duplication timing assigned
B0008	96/98	2	Shae,Sman	Shae__MS3_00001568,Sman__Smp_132700	0		unrooted split; no ancestry or duplication timing assigned
B0009	100/100	4	Shae,Sjap,Sman	Shae__MS3_00006635,Sjap__EWB00_006815,Sjap__EWB00_006816,Sman__Smp_130070	0		unrooted split; no ancestry or duplication timing assigned
B0010	65/69	3	Shae,Sjap,Sman	Shae__MS3_00006635,Sjap__EWB00_006816,Sman__Smp_130070	0		unrooted split; no ancestry or duplication timing assigned
B0011	60.3/63	2	Shae,Sman	Shae__MS3_00006635,Sman__Smp_130070	0		unrooted split; no ancestry or duplication timing assigned
