sequence_id	species	length	candidate
Cele__WBGene00001184	Cele	1153	0
Cele__WBGene00002195	Cele	585	0
Cele__WBGene00020106	Cele	696	0
Dmel__GeneID_39564	Dmel	1052	0
Dmel__GeneID_42160	Dmel	729	0
Dmel__GeneID_43026	Dmel	773	0
Hsap__GeneID_2260	Hsap	853	0
Hsap__GeneID_2261	Hsap	811	0
Hsap__GeneID_2263	Hsap	822	0
Hsap__GeneID_2264	Hsap	802	0
Mmus__GeneID_14182	Mmus	822	0
Mmus__GeneID_14183	Mmus	840	0
Mmus__GeneID_14184	Mmus	802	0
Mmus__GeneID_14186	Mmus	829	0
Shae__MS3_00006334	Shae	828	1
Sjap__EWB00_008748	Sjap	692	1
Sman__Smp_157300	Sman	671	1
Xlae__GeneID_108697372	Xlae	832	0
Xlae__GeneID_397701	Xlae	818	0
Xlae__GeneID_397782	Xlae	812	0
Xlae__GeneID_398181	Xlae	829	0
Xlae__GeneID_399325	Xlae	845	0
Xlae__GeneID_399347	Xlae	802	0
Xlae__GeneID_399444	Xlae	814	0
Xlae__GeneID_779370	Xlae	829	0
