sequence_id	species	length	candidate
Cele__WBGene00006517	Cele	890	0
Dmel__GeneID_43415	Dmel	2045	0
Hsap__GeneID_1195	Hsap	526	0
Hsap__GeneID_1196	Hsap	499	0
Hsap__GeneID_1198	Hsap	490	0
Hsap__GeneID_57396	Hsap	481	0
Mmus__GeneID_102414	Mmus	490	0
Mmus__GeneID_105943584	Mmus	766	0
Mmus__GeneID_12747	Mmus	483	0
Mmus__GeneID_12748	Mmus	499	0
Mmus__GeneID_12750	Mmus	510	0
Shae__MS3_00003948	Shae	556	1
Shae__MS3_00009620	Shae	2682	0
Sjap__EWB00_001434	Sjap	1511	0
Sjap__EWB00_004179	Sjap	538	1
Sman__Smp_058620	Sman	540	1
Sman__Smp_300910	Sman	1865	0
Xlae__GeneID_100049134	Xlae	462	0
Xlae__GeneID_100101302	Xlae	497	0
Xlae__GeneID_108712973	Xlae	485	0
Xlae__GeneID_379763	Xlae	493	0
Xlae__GeneID_734822	Xlae	536	0
