sequence_id	species	length	candidate
Cele__WBGene00002081	Cele	1139	0
Dmel__GeneID_32275	Dmel	1243	0
Hsap__GeneID_3655	Hsap	1130	0
Hsap__GeneID_3675	Hsap	1051	0
Hsap__GeneID_3679	Hsap	1181	0
Mmus__GeneID_16400	Mmus	1068	0
Mmus__GeneID_16403	Mmus	1091	0
Mmus__GeneID_16404	Mmus	1180	0
Shae__MS3_00007742	Shae	1286	1
Sjap__EWB00_011039	Sjap	1204	1
Sman__Smp_306910	Sman	1286	1
Xlae__GeneID_108702534	Xlae	1043	0
Xlae__GeneID_108702994	Xlae	1096	0
Xlae__GeneID_108708560	Xlae	1111	0
Xlae__GeneID_108708991	Xlae	1110	0
Xlae__GeneID_373657	Xlae	1027	0
Xlae__GeneID_397985	Xlae	1096	0
