sequence_id	species	length	candidate
Cele__WBGene00004729	Cele	1273	0
Hsap__GeneID_6091	Hsap	1654	0
Hsap__GeneID_6092	Hsap	1597	0
Hsap__GeneID_64221	Hsap	1386	0
Shae__MS3_00004868	Shae	1413	1
Shae__MS3_00007223	Shae	1808	1
Shae__MS3_00007225	Shae	1404	0
Shae__MS3_00007710	Shae	1873	1
Sjap__EWB00_002236	Sjap	1420	1
Sjap__EWB00_003337	Sjap	1231	0
Sjap__EWB00_003342	Sjap	1791	1
Sjap__EWB00_007255	Sjap	1855	0
Sman__Smp_024660	Sman	1875	1
Sman__Smp_173100	Sman	1748	1
Sman__Smp_204750	Sman	1413	1
Sman__Smp_247330	Sman	1405	0
