branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	75.5/64	20	Cele,Dmel,Hsap,Mmus,Shae,Sjap,Sman,Xlae	Cele__WBGene00014262,Dmel__GeneID_246501,Dmel__GeneID_326182,Dmel__GeneID_32656,Dmel__GeneID_35393,Dmel__GeneID_36740,Hsap__GeneID_10611,Hsap__GeneID_11155,Hsap__GeneID_9260,Mmus__GeneID_24131,Mmus__GeneID_56376,Mmus__GeneID_67399,Shae__MS3_00006333,Sjap__EWB00_008747,Sman__Smp_157310,Xlae__GeneID_100101292,Xlae__GeneID_108696280,Xlae__GeneID_108710972,Xlae__GeneID_379929,Xlae__GeneID_447619	51		unrooted split; no ancestry or duplication timing assigned
B0003	92.4/74	19	Cele,Dmel,Hsap,Mmus,Shae,Sjap,Sman,Xlae	Cele__WBGene00014262,Dmel__GeneID_246501,Dmel__GeneID_326182,Dmel__GeneID_32656,Dmel__GeneID_35393,Hsap__GeneID_10611,Hsap__GeneID_11155,Hsap__GeneID_9260,Mmus__GeneID_24131,Mmus__GeneID_56376,Mmus__GeneID_67399,Shae__MS3_00006333,Sjap__EWB00_008747,Sman__Smp_157310,Xlae__GeneID_100101292,Xlae__GeneID_108696280,Xlae__GeneID_108710972,Xlae__GeneID_379929,Xlae__GeneID_447619	48		unrooted split; no ancestry or duplication timing assigned
B0004	77.8/63	16	Cele,Dmel,Hsap,Mmus,Xlae	Cele__WBGene00014262,Dmel__GeneID_246501,Dmel__GeneID_326182,Dmel__GeneID_32656,Dmel__GeneID_35393,Hsap__GeneID_10611,Hsap__GeneID_11155,Hsap__GeneID_9260,Mmus__GeneID_24131,Mmus__GeneID_56376,Mmus__GeneID_67399,Xlae__GeneID_100101292,Xlae__GeneID_108696280,Xlae__GeneID_108710972,Xlae__GeneID_379929,Xlae__GeneID_447619	0		unrooted split; no ancestry or duplication timing assigned
B0005	61.4/52	12	Cele,Hsap,Mmus,Xlae	Cele__WBGene00014262,Hsap__GeneID_10611,Hsap__GeneID_11155,Hsap__GeneID_9260,Mmus__GeneID_24131,Mmus__GeneID_56376,Mmus__GeneID_67399,Xlae__GeneID_100101292,Xlae__GeneID_108696280,Xlae__GeneID_108710972,Xlae__GeneID_379929,Xlae__GeneID_447619	0		unrooted split; no ancestry or duplication timing assigned
B0006	93.1/69	11	Hsap,Mmus,Xlae	Hsap__GeneID_10611,Hsap__GeneID_11155,Hsap__GeneID_9260,Mmus__GeneID_24131,Mmus__GeneID_56376,Mmus__GeneID_67399,Xlae__GeneID_100101292,Xlae__GeneID_108696280,Xlae__GeneID_108710972,Xlae__GeneID_379929,Xlae__GeneID_447619	0		unrooted split; no ancestry or duplication timing assigned
B0007	95.3/71	7	Hsap,Mmus,Xlae	Hsap__GeneID_10611,Hsap__GeneID_9260,Mmus__GeneID_56376,Mmus__GeneID_67399,Xlae__GeneID_100101292,Xlae__GeneID_108710972,Xlae__GeneID_447619	0		unrooted split; no ancestry or duplication timing assigned
B0008	100/100	4	Hsap,Mmus,Xlae	Hsap__GeneID_10611,Mmus__GeneID_56376,Xlae__GeneID_100101292,Xlae__GeneID_447619	0		unrooted split; no ancestry or duplication timing assigned
B0009	100/100	2	Hsap,Mmus	Hsap__GeneID_10611,Mmus__GeneID_56376	0		unrooted split; no ancestry or duplication timing assigned
B0010	99.9/100	2	Xlae	Xlae__GeneID_100101292,Xlae__GeneID_447619	0		unrooted split; no ancestry or duplication timing assigned
B0011	100/99	3	Hsap,Mmus,Xlae	Hsap__GeneID_9260,Mmus__GeneID_67399,Xlae__GeneID_108710972	0		unrooted split; no ancestry or duplication timing assigned
B0012	98.6/98	2	Hsap,Mmus	Hsap__GeneID_9260,Mmus__GeneID_67399	0		unrooted split; no ancestry or duplication timing assigned
B0013	99.7/99	4	Hsap,Mmus,Xlae	Hsap__GeneID_11155,Mmus__GeneID_24131,Xlae__GeneID_108696280,Xlae__GeneID_379929	0		unrooted split; no ancestry or duplication timing assigned
B0014	99/100	2	Hsap,Mmus	Hsap__GeneID_11155,Mmus__GeneID_24131	0		unrooted split; no ancestry or duplication timing assigned
B0015	100/100	2	Xlae	Xlae__GeneID_108696280,Xlae__GeneID_379929	0		unrooted split; no ancestry or duplication timing assigned
B0016	100/100	4	Dmel	Dmel__GeneID_246501,Dmel__GeneID_326182,Dmel__GeneID_32656,Dmel__GeneID_35393	0		unrooted split; no ancestry or duplication timing assigned
B0017	70.8/72	3	Dmel	Dmel__GeneID_326182,Dmel__GeneID_32656,Dmel__GeneID_35393	0		unrooted split; no ancestry or duplication timing assigned
B0018	99.3/100	2	Dmel	Dmel__GeneID_326182,Dmel__GeneID_35393	0		unrooted split; no ancestry or duplication timing assigned
B0019	100/100	3	Shae,Sjap,Sman	Shae__MS3_00006333,Sjap__EWB00_008747,Sman__Smp_157310	0		unrooted split; no ancestry or duplication timing assigned
B0020	94/97	2	Shae,Sman	Shae__MS3_00006333,Sman__Smp_157310	0		unrooted split; no ancestry or duplication timing assigned
