sequence_id	species	length	candidate
Dmel__GeneID_35900	Dmel	622	0
Hsap__GeneID_130399	Hsap	493	0
Hsap__GeneID_7046	Hsap	507	0
Hsap__GeneID_91	Hsap	546	0
Mmus__GeneID_11479	Mmus	505	0
Mmus__GeneID_21812	Mmus	544	0
Mmus__GeneID_269275	Mmus	493	0
Shae__MS3_00008020	Shae	789	1
Sjap__EWB00_001594	Sjap	770	1
Sman__Smp_049760	Sman	780	1
Xlae__GeneID_108701335	Xlae	492	0
Xlae__GeneID_108702964	Xlae	492	0
Xlae__GeneID_108708537	Xlae	499	0
Xlae__GeneID_108719029	Xlae	500	0
Xlae__GeneID_399295	Xlae	500	0
Xlae__GeneID_399454	Xlae	498	0
