sequence_id	species	length	candidate
Cele__WBGene00000228	Cele	920	0
Dmel__GeneID_31166	Dmel	917	0
Hsap__GeneID_81	Hsap	933	0
Hsap__GeneID_87	Hsap	935	0
Hsap__GeneID_88	Hsap	894	0
Hsap__GeneID_89	Hsap	944	0
Mmus__GeneID_109711	Mmus	914	0
Mmus__GeneID_11472	Mmus	894	0
Mmus__GeneID_11474	Mmus	900	0
Mmus__GeneID_60595	Mmus	934	0
Shae__MS3_00006657	Shae	906	1
Shae__MS3_00006934	Shae	943	1
Sjap__EWB00_006050	Sjap	899	1
Sjap__EWB00_010649	Sjap	800	1
Sman__Smp_014780	Sman	906	1
Sman__Smp_034550	Sman	899	1
Xlae__GeneID_108715125	Xlae	896	0
Xlae__GeneID_399422	Xlae	912	0
Xlae__GeneID_431885	Xlae	912	0
Xlae__GeneID_432169	Xlae	894	0
Xlae__GeneID_446326	Xlae	896	0
Xlae__GeneID_446752	Xlae	894	0
Xlae__GeneID_446865	Xlae	926	0
Xlae__GeneID_734930	Xlae	921	0
