sequence_id	species	length	candidate
Cele__WBGene00002243	Cele	1187	0
Hsap__GeneID_10752	Hsap	1224	0
Hsap__GeneID_1272	Hsap	1018	0
Hsap__GeneID_149095	Hsap	706	0
Hsap__GeneID_152330	Hsap	1026	0
Hsap__GeneID_23114	Hsap	1466	0
Hsap__GeneID_27255	Hsap	1028	0
Hsap__GeneID_3897	Hsap	1257	0
Hsap__GeneID_4897	Hsap	1311	0
Hsap__GeneID_5067	Hsap	1028	0
Hsap__GeneID_53942	Hsap	1100	0
Hsap__GeneID_6900	Hsap	1187	0
Shae__MS3_00003925	Shae	1326	1
Shae__MS3_00010198	Shae	1447	1
Shae__MS3_00011072	Shae	1332	1
Sjap__EWB00_006149	Sjap	2635	1
Sjap__EWB00_006911	Sjap	1005	0
Sjap__EWB00_009360	Sjap	1166	1
Sman__Smp_001900	Sman	1947	0
Sman__Smp_148020	Sman	1462	1
Sman__Smp_176350	Sman	1326	1
