sequence_id	species	length	candidate
Cele__WBGene00000018	Cele	1224	0
Dmel__GeneID_45821	Dmel	1723	0
Hsap__GeneID_25	Hsap	1149	0
Hsap__GeneID_27	Hsap	1182	0
Mmus__GeneID_11350	Mmus	1142	0
Mmus__GeneID_11352	Mmus	1182	0
Shae__MS3_00006730	Shae	1305	1
Shae__MS3_00010068	Shae	1759	0
Sjap__EWB00_005015	Sjap	1659	0
Sjap__EWB00_010687	Sjap	1308	1
Sman__Smp_128790	Sman	1308	1
Sman__Smp_246700	Sman	1705	0
Xlae__GeneID_108699954	Xlae	1129	0
Xlae__GeneID_108704697	Xlae	1115	0
Xlae__GeneID_373818	Xlae	1102	0
Xlae__GeneID_403362	Xlae	1102	0
