sequence_id	species	length	candidate
Cele__WBGene00004186	Cele	775	0
Hsap__GeneID_8899	Hsap	1007	0
Shae__MS3_00001951	Shae	528	0
Shae__MS3_00003055	Shae	1137	0
Shae__MS3_00007562	Shae	509	0
Shae__MS3_00009564	Shae	570	0
Sjap__EWB00_005988	Sjap	549	0
Sjap__EWB00_006315	Sjap	628	1
Sjap__EWB00_006316	Sjap	434	0
Sjap__EWB00_009259	Sjap	267	0
Sjap__EWB00_011195	Sjap	567	0
Sman__Smp_068960	Sman	636	1
Sman__Smp_153090	Sman	560	0
Sman__Smp_159520	Sman	500	0
Sman__Smp_302310	Sman	220	0
Sman__Smp_347770	Sman	512	0
