sequence_id	species	length	candidate
Cele__WBGene00003396	Cele	536	0
Cele__WBGene00006971	Cele	745	0
Cele__WBGene00013643	Cele	478	0
Dmel__GeneID_318725	Dmel	393	0
Dmel__GeneID_39659	Dmel	678	0
Dmel__GeneID_42692	Dmel	281	0
Hsap__GeneID_11035	Hsap	518	0
Hsap__GeneID_51776	Hsap	800	0
Hsap__GeneID_6885	Hsap	606	0
Mmus__GeneID_26409	Mmus	606	0
Mmus__GeneID_56532	Mmus	486	0
Mmus__GeneID_65964	Mmus	802	0
Shae__MS3_00003104	Shae	307	1
Sjap__EWB00_009781	Sjap	307	1
Sman__Smp_058790	Sman	307	1
Xlae__GeneID_101027300	Xlae	793	0
Xlae__GeneID_108699326	Xlae	459	0
Xlae__GeneID_108699327	Xlae	692	0
Xlae__GeneID_108702997	Xlae	788	0
Xlae__GeneID_108715017	Xlae	523	0
Xlae__GeneID_379399	Xlae	616	0
Xlae__GeneID_399459	Xlae	616	0
Xlae__GeneID_733239	Xlae	471	0
