sequence_id	species	length	candidate
Cele__WBGene00004042	Cele	648	0
Cele__WBGene00004043	Cele	632	0
Dmel__GeneID_40232	Dmel	576	0
Hsap__GeneID_1263	Hsap	646	0
Hsap__GeneID_126520	Hsap	336	0
Hsap__GeneID_5347	Hsap	603	0
Mmus__GeneID_12795	Mmus	648	0
Mmus__GeneID_18817	Mmus	603	0
Mmus__GeneID_216166	Mmus	608	0
Shae__MS3_00001471	Shae	618	1
Sjap__EWB00_008372	Sjap	499	1
Sman__Smp_009600	Sman	618	1
Xlae__GeneID_100381164	Xlae	662	0
Xlae__GeneID_100505422	Xlae	663	0
Xlae__GeneID_108701628	Xlae	598	0
Xlae__GeneID_380481	Xlae	598	0
