sequence_id	species	length	candidate
Cele__WBGene00022048	Cele	2259	0
Dmel__GeneID_42066	Dmel	2577	0
Hsap__GeneID_2316	Hsap	2647	0
Hsap__GeneID_2317	Hsap	2633	0
Hsap__GeneID_2318	Hsap	2725	0
Mmus__GeneID_192176	Mmus	2647	0
Mmus__GeneID_286940	Mmus	2602	0
Mmus__GeneID_68794	Mmus	2747	0
Shae__MS3_00005799	Shae	2483	1
Shae__MS3_00007970	Shae	2324	1
Sjap__EWB00_002775	Sjap	2805	1
Sjap__EWB00_006234	Sjap	2492	1
Sman__Smp_000100	Sman	2483	1
Sman__Smp_317420	Sman	2325	1
Xlae__GeneID_108699999	Xlae	2644	0
Xlae__GeneID_108704467	Xlae	2644	0
Xlae__GeneID_108705104	Xlae	2633	0
Xlae__GeneID_108715054	Xlae	1827	0
Xlae__GeneID_121393384	Xlae	1475	0
Xlae__GeneID_121393385	Xlae	1474	0
Xlae__GeneID_733321	Xlae	2767	0
Xlae__GeneID_734178	Xlae	2765	0
