sequence_id	species	length	candidate
Cele__WBGene00006999	Cele	647	0
Dmel__GeneID_317824	Dmel	585	0
Hsap__GeneID_4026	Hsap	676	0
Hsap__GeneID_54751	Hsap	374	0
Hsap__GeneID_7205	Hsap	476	0
Hsap__GeneID_7791	Hsap	572	0
Mmus__GeneID_210126	Mmus	613	0
Mmus__GeneID_22051	Mmus	480	0
Mmus__GeneID_22793	Mmus	564	0
Mmus__GeneID_74202	Mmus	375	0
Shae__MS3_00003129	Shae	480	1
Sjap__EWB00_009560	Sjap	427	1
Sman__Smp_146200	Sman	481	1
Xlae__GeneID_100049724	Xlae	716	0
Xlae__GeneID_100137707	Xlae	383	0
Xlae__GeneID_108695689	Xlae	713	0
Xlae__GeneID_108696847	Xlae	386	0
Xlae__GeneID_108718052	Xlae	615	0
Xlae__GeneID_735087	Xlae	628	0
