sequence_id	species	length	candidate
Cele__WBGene00006794	Cele	152	0
Cele__WBGene00302980	Cele	165	0
Dmel__GeneID_32861	Dmel	148	0
Dmel__GeneID_37841	Dmel	148	0
Hsap__GeneID_1072	Hsap	166	0
Hsap__GeneID_1073	Hsap	166	0
Hsap__GeneID_11034	Hsap	165	0
Hsap__GeneID_729454	Hsap	191	0
Mmus__GeneID_12631	Mmus	166	0
Mmus__GeneID_12632	Mmus	166	0
Mmus__GeneID_56431	Mmus	165	0
Shae__MS3_00004398	Shae	139	1
Shae__MS3_00005166	Shae	378	1
Sjap__EWB00_003359	Sjap	135	1
Sjap__EWB00_008807	Sjap	139	1
Sman__Smp_086590	Sman	140	1
Sman__Smp_120700	Sman	135	1
Sman__Smp_195080	Sman	140	1
Xlae__GeneID_108699719	Xlae	167	0
Xlae__GeneID_108716609	Xlae	153	0
Xlae__GeneID_379172	Xlae	168	0
Xlae__GeneID_379258	Xlae	274	0
Xlae__GeneID_379282	Xlae	153	0
Xlae__GeneID_494995	Xlae	167	0
