sequence_id	species	length	candidate
Cele__WBGene00004855	Cele	4166	0
Cele__WBGene00006803	Cele	2326	0
Dmel__GeneID_32746	Dmel	2308	0
Dmel__GeneID_38418	Dmel	4337	0
Hsap__GeneID_51332	Hsap	3734	0
Hsap__GeneID_57731	Hsap	2564	0
Hsap__GeneID_6710	Hsap	2328	0
Hsap__GeneID_6711	Hsap	2364	0
Hsap__GeneID_6712	Hsap	2397	0
Mmus__GeneID_20741	Mmus	2329	0
Mmus__GeneID_20742	Mmus	2363	0
Mmus__GeneID_20743	Mmus	2388	0
Mmus__GeneID_640524	Mmus	3742	0
Mmus__GeneID_80297	Mmus	2580	0
Shae__MS3_00006229	Shae	2597	1
Shae__MS3_00008194	Shae	2661	1
Sjap__EWB00_004137	Sjap	2450	1
Sjap__EWB00_010727	Sjap	1901	1
Sman__Smp_128920	Sman	2662	1
Sman__Smp_143470	Sman	2340	1
Xlae__GeneID_108698614	Xlae	2595	0
Xlae__GeneID_108698979	Xlae	3863	0
Xlae__GeneID_108699197	Xlae	2341	0
Xlae__GeneID_108700575	Xlae	1241	0
Xlae__GeneID_108715130	Xlae	2440	0
Xlae__GeneID_108716412	Xlae	2392	0
Xlae__GeneID_108717395	Xlae	2356	0
Xlae__GeneID_398511	Xlae	2439	0
