sequence_id	species	length	candidate
Cele__WBGene00001533	Cele	1086	0
Cele__WBGene00001534	Cele	1117	0
Cele__WBGene00001539	Cele	1028	0
Cele__WBGene00001540	Cele	1111	0
Cele__WBGene00001542	Cele	1088	0
Cele__WBGene00001545	Cele	1108	0
Cele__WBGene00001547	Cele	1058	0
Hsap__GeneID_2986	Hsap	1108	0
Hsap__GeneID_3000	Hsap	1103	0
Shae__MS3_00006209	Shae	924	0
Shae__MS3_00008672	Shae	507	1
Sjap__EWB00_008992	Sjap	782	0
Sjap__EWB00_010753	Sjap	859	0
Sman__Smp_085680	Sman	850	0
Sman__Smp_125450	Sman	1254	0
