sequence_id	species	length	candidate
Cele__WBGene00016539	Cele	765	0
Hsap__GeneID_11043	Hsap	735	0
Hsap__GeneID_114088	Hsap	802	0
Hsap__GeneID_115992	Hsap	350	0
Hsap__GeneID_123722	Hsap	749	0
Hsap__GeneID_202333	Hsap	4069	0
Hsap__GeneID_283377	Hsap	207	0
Hsap__GeneID_287015	Hsap	727	0
Hsap__GeneID_4281	Hsap	667	0
Hsap__GeneID_440730	Hsap	783	0
Hsap__GeneID_55521	Hsap	745	0
Hsap__GeneID_57159	Hsap	400	0
Hsap__GeneID_7706	Hsap	630	0
Hsap__GeneID_79187	Hsap	496	0
Hsap__GeneID_80128	Hsap	788	0
Hsap__GeneID_81603	Hsap	551	0
Hsap__GeneID_83856	Hsap	547	0
Hsap__GeneID_84675	Hsap	548	0
Hsap__GeneID_84676	Hsap	353	0
Shae__MS3_00001541	Shae	941	1
Sjap__EWB00_004250	Sjap	943	1
Sman__Smp_332470	Sman	941	1
