sequence_id	species	length	candidate
Cele__WBGene00001708	Cele	642	0
Dmel__GeneID_49045	Dmel	714	0
Hsap__GeneID_131890	Hsap	553	0
Hsap__GeneID_2868	Hsap	617	0
Hsap__GeneID_2869	Hsap	590	0
Hsap__GeneID_2870	Hsap	589	0
Hsap__GeneID_6011	Hsap	563	0
Mmus__GeneID_14772	Mmus	574	0
Mmus__GeneID_14773	Mmus	590	0
Mmus__GeneID_24013	Mmus	564	0
Mmus__GeneID_26385	Mmus	589	0
Shae__MS3_00005588	Shae	705	1
Sjap__EWB00_010483	Sjap	696	0
Sman__Smp_123640	Sman	699	1
Xlae__GeneID_100192358	Xlae	551	0
Xlae__GeneID_100192359	Xlae	550	0
Xlae__GeneID_108696022	Xlae	590	0
Xlae__GeneID_108697324	Xlae	590	0
Xlae__GeneID_108711651	Xlae	594	0
Xlae__GeneID_108712671	Xlae	594	0
Xlae__GeneID_443726	Xlae	557	0
Xlae__GeneID_446831	Xlae	575	0
Xlae__GeneID_447337	Xlae	575	0
Xlae__GeneID_474158	Xlae	575	0
Xlae__GeneID_733223	Xlae	557	0
Xlae__GeneID_733256	Xlae	575	0
