sequence_id	species	length	candidate
Cele__WBGene00006779	Cele	681	0
Dmel__GeneID_43828	Dmel	531	0
Hsap__GeneID_815	Hsap	489	0
Hsap__GeneID_816	Hsap	709	0
Hsap__GeneID_817	Hsap	533	0
Hsap__GeneID_818	Hsap	592	0
Mmus__GeneID_108058	Mmus	533	0
Mmus__GeneID_12322	Mmus	489	0
Mmus__GeneID_12323	Mmus	667	0
Mmus__GeneID_12325	Mmus	588	0
Shae__MS3_00003383	Shae	528	1
Sjap__EWB00_003065	Sjap	507	1
Sman__Smp_011660	Sman	522	1
Xlae__GeneID_108696257	Xlae	654	0
Xlae__GeneID_108712641	Xlae	511	0
Xlae__GeneID_380508	Xlae	655	0
Xlae__GeneID_397789	Xlae	624	0
Xlae__GeneID_398376	Xlae	537	0
Xlae__GeneID_399160	Xlae	537	0
Xlae__GeneID_399284	Xlae	624	0
