sequence_id	species	length	candidate
Cele__WBGene00004789	Cele	463	0
Hsap__GeneID_100533105	Hsap	496	0
Hsap__GeneID_10110	Hsap	367	0
Hsap__GeneID_23678	Hsap	496	0
Hsap__GeneID_6446	Hsap	526	0
Mmus__GeneID_170755	Mmus	496	0
Mmus__GeneID_20393	Mmus	524	0
Mmus__GeneID_27219	Mmus	367	0
Shae__MS3_00002812	Shae	465	1
Sjap__EWB00_008632	Sjap	272	0
Sjap__EWB00_008633	Sjap	252	0
Sman__Smp_322170	Sman	104	0
Sman__Smp_336830	Sman	465	1
Xlae__GeneID_108695327	Xlae	490	0
Xlae__GeneID_108704609	Xlae	398	0
Xlae__GeneID_108719280	Xlae	490	0
Xlae__GeneID_399130	Xlae	434	0
Xlae__GeneID_444618	Xlae	434	0
