sequence_id	species	length	candidate
Cele__WBGene00002247	Cele	1790	0
Dmel__GeneID_34068	Dmel	1788	0
Hsap__GeneID_22798	Hsap	1772	0
Hsap__GeneID_3912	Hsap	1786	0
Hsap__GeneID_3913	Hsap	1798	0
Mmus__GeneID_16777	Mmus	1786	0
Mmus__GeneID_16779	Mmus	1799	0
Shae__MS3_00000487	Shae	1754	1
Sjap__EWB00_002741	Sjap	1765	1
Sman__Smp_148790	Sman	1753	1
Xlae__GeneID_108711178	Xlae	1853	0
Xlae__GeneID_108711179	Xlae	1785	0
Xlae__GeneID_108713081	Xlae	1785	0
Xlae__GeneID_108715891	Xlae	1793	0
Xlae__GeneID_494988	Xlae	1793	0
