branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	86/82	4	Dmel,Shae,Sjap,Sman	Dmel__GeneID_40553,Shae__MS3_00003925,Sjap__EWB00_009360,Sman__Smp_176350	3		unrooted split; no ancestry or duplication timing assigned
B0003	100/100	3	Shae,Sjap,Sman	Shae__MS3_00003925,Sjap__EWB00_009360,Sman__Smp_176350	0		unrooted split; no ancestry or duplication timing assigned
B0004	85.6/93	2	Shae,Sman	Shae__MS3_00003925,Sman__Smp_176350	0		unrooted split; no ancestry or duplication timing assigned
B0005	99.9/99	19	Hsap,Mmus,Xlae	Hsap__GeneID_1272,Hsap__GeneID_152330,Hsap__GeneID_27255,Hsap__GeneID_5067,Hsap__GeneID_53942,Hsap__GeneID_6900,Mmus__GeneID_12805,Mmus__GeneID_18488,Mmus__GeneID_21367,Mmus__GeneID_244682,Mmus__GeneID_269784,Mmus__GeneID_53870,Xlae__GeneID_108707575,Xlae__GeneID_108708146,Xlae__GeneID_108710006,Xlae__GeneID_108714621,Xlae__GeneID_378666,Xlae__GeneID_397710,Xlae__GeneID_432118	0		unrooted split; no ancestry or duplication timing assigned
B0006	93.6/92	7	Hsap,Mmus,Xlae	Hsap__GeneID_1272,Hsap__GeneID_6900,Mmus__GeneID_12805,Mmus__GeneID_21367,Xlae__GeneID_108708146,Xlae__GeneID_378666,Xlae__GeneID_397710	0		unrooted split; no ancestry or duplication timing assigned
B0007	100/100	4	Hsap,Mmus,Xlae	Hsap__GeneID_1272,Mmus__GeneID_12805,Xlae__GeneID_378666,Xlae__GeneID_397710	0		unrooted split; no ancestry or duplication timing assigned
B0008	100/100	2	Hsap,Mmus	Hsap__GeneID_1272,Mmus__GeneID_12805	0		unrooted split; no ancestry or duplication timing assigned
B0009	100/100	2	Xlae	Xlae__GeneID_378666,Xlae__GeneID_397710	0		unrooted split; no ancestry or duplication timing assigned
B0010	100/100	3	Hsap,Mmus,Xlae	Hsap__GeneID_6900,Mmus__GeneID_21367,Xlae__GeneID_108708146	0		unrooted split; no ancestry or duplication timing assigned
B0011	100/100	2	Hsap,Mmus	Hsap__GeneID_6900,Mmus__GeneID_21367	0		unrooted split; no ancestry or duplication timing assigned
B0012	98/96	12	Hsap,Mmus,Xlae	Hsap__GeneID_152330,Hsap__GeneID_27255,Hsap__GeneID_5067,Hsap__GeneID_53942,Mmus__GeneID_18488,Mmus__GeneID_244682,Mmus__GeneID_269784,Mmus__GeneID_53870,Xlae__GeneID_108707575,Xlae__GeneID_108710006,Xlae__GeneID_108714621,Xlae__GeneID_432118	0		unrooted split; no ancestry or duplication timing assigned
B0013	99.9/98	8	Hsap,Mmus,Xlae	Hsap__GeneID_152330,Hsap__GeneID_27255,Hsap__GeneID_5067,Mmus__GeneID_18488,Mmus__GeneID_269784,Mmus__GeneID_53870,Xlae__GeneID_108714621,Xlae__GeneID_432118	0		unrooted split; no ancestry or duplication timing assigned
B0014	84/81	6	Hsap,Mmus,Xlae	Hsap__GeneID_152330,Hsap__GeneID_27255,Mmus__GeneID_269784,Mmus__GeneID_53870,Xlae__GeneID_108714621,Xlae__GeneID_432118	0		unrooted split; no ancestry or duplication timing assigned
B0015	99.9/100	4	Hsap,Mmus,Xlae	Hsap__GeneID_152330,Mmus__GeneID_269784,Xlae__GeneID_108714621,Xlae__GeneID_432118	0		unrooted split; no ancestry or duplication timing assigned
B0016	100/100	2	Hsap,Mmus	Hsap__GeneID_152330,Mmus__GeneID_269784	0		unrooted split; no ancestry or duplication timing assigned
B0017	100/100	2	Xlae	Xlae__GeneID_108714621,Xlae__GeneID_432118	0		unrooted split; no ancestry or duplication timing assigned
B0018	100/100	2	Hsap,Mmus	Hsap__GeneID_27255,Mmus__GeneID_53870	0		unrooted split; no ancestry or duplication timing assigned
B0019	100/100	2	Hsap,Mmus	Hsap__GeneID_5067,Mmus__GeneID_18488	0		unrooted split; no ancestry or duplication timing assigned
B0020	100/100	4	Hsap,Mmus,Xlae	Hsap__GeneID_53942,Mmus__GeneID_244682,Xlae__GeneID_108707575,Xlae__GeneID_108710006	0		unrooted split; no ancestry or duplication timing assigned
B0021	100/100	2	Hsap,Mmus	Hsap__GeneID_53942,Mmus__GeneID_244682	0		unrooted split; no ancestry or duplication timing assigned
B0022	100/100	2	Xlae	Xlae__GeneID_108707575,Xlae__GeneID_108710006	0		unrooted split; no ancestry or duplication timing assigned
