sequence_id	species	length	candidate
Cele__WBGene00004055	Cele	377	0
Cele__WBGene00004056	Cele	402	0
Dmel__GeneID_2768679	Dmel	356	0
Dmel__GeneID_34780	Dmel	365	0
Dmel__GeneID_42866	Dmel	366	0
Hsap__GeneID_1432	Hsap	401	0
Hsap__GeneID_5600	Hsap	364	0
Hsap__GeneID_5603	Hsap	365	0
Hsap__GeneID_6300	Hsap	367	0
Mmus__GeneID_19094	Mmus	364	0
Mmus__GeneID_26415	Mmus	366	0
Mmus__GeneID_26416	Mmus	360	0
Mmus__GeneID_29857	Mmus	390	0
Shae__MS3_00006560	Shae	378	1
Sjap__EWB00_009122	Sjap	370	1
Sman__Smp_133020	Sman	370	1
Xlae__GeneID_100329215	Xlae	391	0
Xlae__GeneID_108711159	Xlae	363	0
Xlae__GeneID_379992	Xlae	361	0
Xlae__GeneID_398592	Xlae	363	0
Xlae__GeneID_494669	Xlae	361	0
