sequence_id	species	length	candidate
Cele__WBGene00000102	Cele	546	0
Cele__WBGene00000103	Cele	528	0
Dmel__GeneID_41957	Dmel	611	0
Hsap__GeneID_10000	Hsap	479	0
Hsap__GeneID_207	Hsap	480	0
Hsap__GeneID_208	Hsap	481	0
Mmus__GeneID_11651	Mmus	488	0
Mmus__GeneID_11652	Mmus	481	0
Mmus__GeneID_23797	Mmus	479	0
Shae__MS3_00005037	Shae	586	1
Sjap__EWB00_011263	Sjap	545	1
Sman__Smp_243630	Sman	586	1
Xlae__GeneID_108698803	Xlae	481	0
Xlae__GeneID_379783	Xlae	486	0
Xlae__GeneID_399170	Xlae	481	0
Xlae__GeneID_432172	Xlae	485	0
