sequence_id	species	length	candidate
Cele__WBGene00001487	Cele	390	0
Cele__WBGene00002198	Cele	418	0
Cele__WBGene00020659	Cele	514	0
Cele__WBGene00022780	Cele	419	0
Dmel__GeneID_41118	Dmel	1325	0
Hsap__GeneID_2241	Hsap	837	0
Hsap__GeneID_2242	Hsap	822	0
Mmus__GeneID_14158	Mmus	823	0
Mmus__GeneID_14159	Mmus	822	0
Shae__MS3_00009762	Shae	1278	1
Sjap__EWB00_003747	Sjap	1264	1
Sman__Smp_331960	Sman	321	1
Sman__Smp_332370	Sman	1249	1
Sman__Smp_335950	Sman	326	1
Xlae__GeneID_108695677	Xlae	823	0
Xlae__GeneID_108707219	Xlae	824	0
Xlae__GeneID_108711440	Xlae	822	0
Xlae__GeneID_444292	Xlae	822	0
