branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	63.8/55	11	Dmel,Hsap,Mmus,Xlae	Dmel__GeneID_34411,Dmel__GeneID_42453,Hsap__GeneID_1017,Hsap__GeneID_1018,Hsap__GeneID_983,Mmus__GeneID_12534,Mmus__GeneID_12566,Xlae__GeneID_379785,Xlae__GeneID_380246,Xlae__GeneID_399314,Xlae__GeneID_432036	0		unrooted split; no ancestry or duplication timing assigned
B0003	12.1/38	5	Dmel,Hsap,Mmus,Xlae	Dmel__GeneID_34411,Hsap__GeneID_983,Mmus__GeneID_12534,Xlae__GeneID_379785,Xlae__GeneID_380246	0		unrooted split; no ancestry or duplication timing assigned
B0004	98.5/100	4	Hsap,Mmus,Xlae	Hsap__GeneID_983,Mmus__GeneID_12534,Xlae__GeneID_379785,Xlae__GeneID_380246	0		unrooted split; no ancestry or duplication timing assigned
B0005	91.6/94	2	Hsap,Mmus	Hsap__GeneID_983,Mmus__GeneID_12534	0		unrooted split; no ancestry or duplication timing assigned
B0006	97.9/100	2	Xlae	Xlae__GeneID_379785,Xlae__GeneID_380246	0		unrooted split; no ancestry or duplication timing assigned
B0007	99.9/100	6	Dmel,Hsap,Mmus,Xlae	Dmel__GeneID_42453,Hsap__GeneID_1017,Hsap__GeneID_1018,Mmus__GeneID_12566,Xlae__GeneID_399314,Xlae__GeneID_432036	0		unrooted split; no ancestry or duplication timing assigned
B0008	69.4/73	5	Hsap,Mmus,Xlae	Hsap__GeneID_1017,Hsap__GeneID_1018,Mmus__GeneID_12566,Xlae__GeneID_399314,Xlae__GeneID_432036	0		unrooted split; no ancestry or duplication timing assigned
B0009	99.1/99	4	Hsap,Mmus,Xlae	Hsap__GeneID_1017,Mmus__GeneID_12566,Xlae__GeneID_399314,Xlae__GeneID_432036	0		unrooted split; no ancestry or duplication timing assigned
B0010	94.1/100	2	Hsap,Mmus	Hsap__GeneID_1017,Mmus__GeneID_12566	0		unrooted split; no ancestry or duplication timing assigned
B0011	95/100	2	Xlae	Xlae__GeneID_399314,Xlae__GeneID_432036	0		unrooted split; no ancestry or duplication timing assigned
B0012	100/100	3	Shae,Sjap,Sman	Shae__MS3_00008679,Sjap__EWB00_003272,Sman__Smp_080730	0		unrooted split; no ancestry or duplication timing assigned
B0013	80.9/93	2	Shae,Sman	Shae__MS3_00008679,Sman__Smp_080730	0		unrooted split; no ancestry or duplication timing assigned
