sequence_id	species	length	candidate
Cele__WBGene00003374	Cele	1059	0
Dmel__GeneID_44111	Dmel	1155	0
Hsap__GeneID_4293	Hsap	1166	0
Hsap__GeneID_4294	Hsap	962	0
Hsap__GeneID_4296	Hsap	847	0
Hsap__GeneID_84451	Hsap	1036	0
Mmus__GeneID_234878	Mmus	1002	0
Mmus__GeneID_26403	Mmus	850	0
Mmus__GeneID_269881	Mmus	991	0
Mmus__GeneID_338372	Mmus	1120	0
Shae__MS3_00004145	Shae	1602	0
Sjap__EWB00_007640	Sjap	702	1
Sman__Smp_176580	Sman	1660	0
Xlae__GeneID_100381159	Xlae	1106	0
Xlae__GeneID_108699730	Xlae	1106	0
Xlae__GeneID_398612	Xlae	1005	0
