sequence_id	species	length	candidate
Cele__WBGene00006979	Cele	238	0
Cele__WBGene00006980	Cele	251	0
Cele__WBGene00006981	Cele	253	0
Hsap__GeneID_10205	Hsap	215	0
Hsap__GeneID_10223	Hsap	319	0
Hsap__GeneID_11326	Hsap	399	0
Hsap__GeneID_120425	Hsap	394	0
Hsap__GeneID_152404	Hsap	481	0
Hsap__GeneID_1525	Hsap	365	0
Hsap__GeneID_196264	Hsap	235	0
Hsap__GeneID_23584	Hsap	327	0
Hsap__GeneID_340547	Hsap	449	0
Hsap__GeneID_391123	Hsap	414	0
Hsap__GeneID_4359	Hsap	312	0
Hsap__GeneID_50848	Hsap	327	0
Hsap__GeneID_55800	Hsap	215	0
Hsap__GeneID_58494	Hsap	312	0
Hsap__GeneID_6324	Hsap	268	0
Hsap__GeneID_6327	Hsap	215	0
Hsap__GeneID_6330	Hsap	228	0
Hsap__GeneID_79827	Hsap	373	0
Hsap__GeneID_83700	Hsap	310	0
Hsap__GeneID_9019	Hsap	269	0
Hsap__GeneID_90952	Hsap	390	0
Hsap__GeneID_924	Hsap	240	0
Shae__MS3_00001233	Shae	871	1
Sjap__EWB00_002463	Sjap	871	1
Sman__Smp_171460	Sman	871	1
