sequence_id	species	length	candidate
Cele__WBGene00006771	Cele	2553	0
Dmel__GeneID_38978	Dmel	2836	0
Hsap__GeneID_7094	Hsap	2541	0
Hsap__GeneID_83660	Hsap	2542	0
Mmus__GeneID_21894	Mmus	2627	0
Mmus__GeneID_70549	Mmus	2559	0
Shae__MS3_00000278	Shae	3245	1
Shae__MS3_00001770	Shae	1942	1
Sjap__EWB00_003146	Sjap	2782	1
Sjap__EWB00_006505	Sjap	3244	1
Sman__Smp_167010	Sman	3246	1
Sman__Smp_343540	Sman	2917	1
Xlae__GeneID_100037170	Xlae	2558	0
Xlae__GeneID_108711290	Xlae	2567	0
Xlae__GeneID_108712994	Xlae	2629	0
Xlae__GeneID_733283	Xlae	2558	0
