sequence_id	species	length	candidate
Cele__WBGene00001526	Cele	803	0
Dmel__GeneID_42064	Dmel	642	0
Hsap__GeneID_10494	Hsap	426	0
Hsap__GeneID_51765	Hsap	416	0
Hsap__GeneID_8428	Hsap	443	0
Mmus__GeneID_223255	Mmus	443	0
Mmus__GeneID_59041	Mmus	426	0
Mmus__GeneID_70415	Mmus	416	0
Shae__MS3_00004152	Shae	635	1
Sjap__EWB00_007650	Sjap	632	1
Sman__Smp_096640	Sman	621	1
Xlae__GeneID_108698480	Xlae	413	0
Xlae__GeneID_108709753	Xlae	425	0
Xlae__GeneID_432004	Xlae	400	0
Xlae__GeneID_444155	Xlae	424	0
Xlae__GeneID_444523	Xlae	413	0
