branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	100/100	3	Hsap	Hsap__GeneID_6091,Hsap__GeneID_6092,Hsap__GeneID_64221	0		unrooted split; no ancestry or duplication timing assigned
B0003	99.7/100	2	Hsap	Hsap__GeneID_6091,Hsap__GeneID_6092	0		unrooted split; no ancestry or duplication timing assigned
B0004	100/100	12	Shae,Sjap,Sman	Shae__MS3_00004868,Shae__MS3_00007223,Shae__MS3_00007225,Shae__MS3_00007710,Sjap__EWB00_002236,Sjap__EWB00_003337,Sjap__EWB00_003342,Sjap__EWB00_007255,Sman__Smp_024660,Sman__Smp_173100,Sman__Smp_204750,Sman__Smp_247330	0		unrooted split; no ancestry or duplication timing assigned
B0005	100/100	6	Shae,Sjap,Sman	Shae__MS3_00004868,Shae__MS3_00007710,Sjap__EWB00_002236,Sjap__EWB00_007255,Sman__Smp_024660,Sman__Smp_204750	0		unrooted split; no ancestry or duplication timing assigned
B0006	100/100	3	Shae,Sjap,Sman	Shae__MS3_00004868,Sjap__EWB00_002236,Sman__Smp_204750	0		unrooted split; no ancestry or duplication timing assigned
B0007	81.5/82	2	Shae,Sjap	Shae__MS3_00004868,Sjap__EWB00_002236	0		unrooted split; no ancestry or duplication timing assigned
B0008	100/100	3	Shae,Sjap,Sman	Shae__MS3_00007710,Sjap__EWB00_007255,Sman__Smp_024660	0		unrooted split; no ancestry or duplication timing assigned
B0009	95/85	2	Shae,Sman	Shae__MS3_00007710,Sman__Smp_024660	0		unrooted split; no ancestry or duplication timing assigned
B0010	100/100	6	Shae,Sjap,Sman	Shae__MS3_00007223,Shae__MS3_00007225,Sjap__EWB00_003337,Sjap__EWB00_003342,Sman__Smp_173100,Sman__Smp_247330	0		unrooted split; no ancestry or duplication timing assigned
B0011	100/100	3	Shae,Sjap,Sman	Shae__MS3_00007223,Sjap__EWB00_003342,Sman__Smp_173100	0		unrooted split; no ancestry or duplication timing assigned
B0012	97.9/95	2	Shae,Sman	Shae__MS3_00007223,Sman__Smp_173100	0		unrooted split; no ancestry or duplication timing assigned
B0013	100/100	3	Shae,Sjap,Sman	Shae__MS3_00007225,Sjap__EWB00_003337,Sman__Smp_247330	0		unrooted split; no ancestry or duplication timing assigned
B0014	98.6/98	2	Shae,Sman	Shae__MS3_00007225,Sman__Smp_247330	0		unrooted split; no ancestry or duplication timing assigned
