sequence_id	species	length	candidate
Cele__WBGene00002189	Cele	579	0
Hsap__GeneID_5566	Hsap	427	0
Hsap__GeneID_5567	Hsap	398	0
Hsap__GeneID_5568	Hsap	351	0
Shae__MS3_00002636	Shae	372	1
Shae__MS3_00003633	Shae	350	1
Shae__MS3_00008673	Shae	348	1
Shae__MS3_00008682	Shae	405	1
Sjap__EWB00_004196	Sjap	315	1
Sjap__EWB00_007512	Sjap	372	1
Sjap__EWB00_007721	Sjap	367	1
Sjap__EWB00_008993	Sjap	345	1
Sman__Smp_085690	Sman	348	1
Sman__Smp_085700	Sman	104	0
Sman__Smp_152330	Sman	350	1
Sman__Smp_164380	Sman	405	1
Sman__Smp_307260	Sman	350	1
