sequence_id	species	length	candidate
Cele__WBGene00000099	Cele	305	0
Dmel__GeneID_34504	Dmel	329	0
Hsap__GeneID_6790	Hsap	437	0
Hsap__GeneID_6795	Hsap	309	0
Hsap__GeneID_9212	Hsap	345	0
Mmus__GeneID_20871	Mmus	276	0
Mmus__GeneID_20877	Mmus	345	0
Mmus__GeneID_20878	Mmus	417	0
Shae__MS3_00004019	Shae	255	1
Sjap__EWB00_004811	Sjap	282	1
Sman__Smp_335730	Sman	218	1
Xlae__GeneID_397925	Xlae	407	0
Xlae__GeneID_398349	Xlae	408	0
Xlae__GeneID_398457	Xlae	361	0
Xlae__GeneID_444083	Xlae	368	0
