sequence_id	species	length	candidate
Cele__WBGene00012019	Cele	1095	0
Cele__WBGene00012352	Cele	722	0
Dmel__GeneID_42203	Dmel	906	0
Hsap__GeneID_23683	Hsap	890	0
Hsap__GeneID_25865	Hsap	878	0
Hsap__GeneID_5587	Hsap	920	0
Mmus__GeneID_101540	Mmus	875	0
Mmus__GeneID_18760	Mmus	918	0
Mmus__GeneID_75292	Mmus	890	0
Shae__MS3_00004366	Shae	1331	0
Sjap__EWB00_001036	Sjap	1253	1
Sman__Smp_244010	Sman	1323	0
Xlae__GeneID_108699707	Xlae	861	0
Xlae__GeneID_108713955	Xlae	817	0
Xlae__GeneID_447531	Xlae	869	0
