sequence_id	species	length	candidate
Hsap__GeneID_1289	Hsap	1838	0
Hsap__GeneID_1301	Hsap	1857	0
Hsap__GeneID_1302	Hsap	1736	0
Hsap__GeneID_50509	Hsap	1745	0
Mmus__GeneID_12814	Mmus	1816	0
Mmus__GeneID_12815	Mmus	1820	0
Mmus__GeneID_12831	Mmus	1838	0
Mmus__GeneID_53867	Mmus	1739	0
Shae__MS3_00001716	Shae	1668	1
Shae__MS3_00010057	Shae	1668	1
Sjap__EWB00_000274	Sjap	1655	1
Sjap__EWB00_001311	Sjap	1552	1
Sman__Smp_123830	Sman	1662	1
Sman__Smp_196840	Sman	1674	1
Xlae__GeneID_108699914	Xlae	1855	0
Xlae__GeneID_108700220	Xlae	1873	0
Xlae__GeneID_108711695	Xlae	1798	0
Xlae__GeneID_108713331	Xlae	1799	0
Xlae__GeneID_108714428	Xlae	1866	0
Xlae__GeneID_108715007	Xlae	1865	0
Xlae__GeneID_398739	Xlae	1859	0
