sequence_id	species	length	candidate
Cele__WBGene00003400	Cele	1425	0
Hsap__GeneID_1612	Hsap	1430	0
Hsap__GeneID_1613	Hsap	454	0
Hsap__GeneID_23604	Hsap	488	0
Mmus__GeneID_13143	Mmus	490	0
Mmus__GeneID_13144	Mmus	465	0
Mmus__GeneID_69635	Mmus	1464	0
Shae__MS3_00005260	Shae	828	1
Sjap__EWB00_007729	Sjap	714	0
Sman__Smp_181490	Sman	822	1
Xlae__GeneID_108700356	Xlae	404	0
Xlae__GeneID_108711286	Xlae	490	0
Xlae__GeneID_108712999	Xlae	443	0
Xlae__GeneID_431807	Xlae	1427	0
Xlae__GeneID_432161	Xlae	452	0
Xlae__GeneID_446562	Xlae	1427	0
Xlae__GeneID_496293	Xlae	404	0
Xlae__GeneID_734514	Xlae	452	0
