sequence_id	species	length	candidate
Cele__WBGene00004033	Cele	753	0
Cele__WBGene00006599	Cele	704	0
Dmel__GeneID_36897	Dmel	700	0
Dmel__GeneID_48311	Dmel	679	0
Hsap__GeneID_5578	Hsap	672	0
Hsap__GeneID_5579	Hsap	673	0
Hsap__GeneID_5580	Hsap	695	0
Hsap__GeneID_5582	Hsap	710	0
Hsap__GeneID_5588	Hsap	740	0
Mmus__GeneID_18750	Mmus	688	0
Mmus__GeneID_18751	Mmus	673	0
Mmus__GeneID_18752	Mmus	697	0
Mmus__GeneID_18753	Mmus	700	0
Mmus__GeneID_18761	Mmus	707	0
Shae__MS3_00003400	Shae	678	1
Shae__MS3_00003923	Shae	662	1
Sjap__EWB00_009358	Sjap	526	1
Sman__Smp_128480	Sman	646	1
Sman__Smp_241420	Sman	662	1
Xlae__GeneID_108696776	Xlae	683	0
Xlae__GeneID_108697820	Xlae	683	0
Xlae__GeneID_108701647	Xlae	671	0
Xlae__GeneID_108702159	Xlae	689	0
Xlae__GeneID_108703204	Xlae	670	0
Xlae__GeneID_108711231	Xlae	699	0
Xlae__GeneID_404226	Xlae	683	0
Xlae__GeneID_404227	Xlae	683	0
Xlae__GeneID_447031	Xlae	685	0
