sequence_id	species	length	candidate
Cele__WBGene00000898	Cele	1928	0
Dmel__GeneID_41809	Dmel	868	0
Dmel__GeneID_42549	Dmel	2144	0
Hsap__GeneID_3480	Hsap	1392	0
Hsap__GeneID_3643	Hsap	1382	0
Hsap__GeneID_3645	Hsap	1297	0
Mmus__GeneID_16001	Mmus	1401	0
Mmus__GeneID_16337	Mmus	1384	0
Mmus__GeneID_23920	Mmus	1313	0
Shae__MS3_00005028	Shae	875	1
Shae__MS3_00005322	Shae	1730	0
Sjap__EWB00_003964	Sjap	1501	0
Sjap__EWB00_007965	Sjap	862	1
Sman__Smp_009990	Sman	1724	0
Sman__Smp_341160	Sman	1501	0
Xlae__GeneID_100158430	Xlae	698	0
Xlae__GeneID_108700357	Xlae	1359	0
Xlae__GeneID_108711478	Xlae	1358	0
Xlae__GeneID_398006	Xlae	1362	0
Xlae__GeneID_398022	Xlae	1358	0
Xlae__GeneID_398941	Xlae	1359	0
