sequence_id	species	length	candidate
Cele__WBGene00000063	Cele	376	0
Cele__WBGene00000064	Cele	376	0
Cele__WBGene00000065	Cele	376	0
Cele__WBGene00000066	Cele	376	0
Hsap__GeneID_105375817	Hsap	188	0
Hsap__GeneID_58	Hsap	377	0
Hsap__GeneID_59	Hsap	377	0
Hsap__GeneID_70	Hsap	377	0
Hsap__GeneID_72	Hsap	376	0
Shae__MS3_00004525	Shae	376	1
Shae__MS3_00008660	Shae	360	1
Shae__MS3_00008661	Shae	376	1
Shae__MS3_00008744	Shae	376	1
Shae__MS3_00008746	Shae	378	1
Sjap__EWB00_002502	Sjap	376	1
Sjap__EWB00_004876	Sjap	376	1
Sjap__EWB00_004878	Sjap	373	1
Sjap__EWB00_007517	Sjap	376	1
Sman__Smp_183710	Sman	376	1
Sman__Smp_202970	Sman	378	1
Sman__Smp_203130	Sman	376	1
Sman__Smp_306600	Sman	376	1
Sman__Smp_307010	Sman	376	1
Sman__Smp_307020	Sman	376	1
