branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	66.6/73	12	Hsap,Shae,Sjap,Sman	Hsap__GeneID_10612,Hsap__GeneID_23321,Hsap__GeneID_387921,Hsap__GeneID_80263,Hsap__GeneID_81844,Shae__MS3_00006225,Shae__MS3_00007880,Sjap__EWB00_006606,Sjap__EWB00_006607,Sjap__EWB00_010731,Sman__Smp_039300,Sman__Smp_334130	9		unrooted split; no ancestry or duplication timing assigned
B0003	83.9/68	11	Hsap,Shae,Sjap,Sman	Hsap__GeneID_10612,Hsap__GeneID_23321,Hsap__GeneID_80263,Hsap__GeneID_81844,Shae__MS3_00006225,Shae__MS3_00007880,Sjap__EWB00_006606,Sjap__EWB00_006607,Sjap__EWB00_010731,Sman__Smp_039300,Sman__Smp_334130	6		unrooted split; no ancestry or duplication timing assigned
B0004	39/32	9	Hsap,Shae,Sjap,Sman	Hsap__GeneID_10612,Hsap__GeneID_23321,Shae__MS3_00006225,Shae__MS3_00007880,Sjap__EWB00_006606,Sjap__EWB00_006607,Sjap__EWB00_010731,Sman__Smp_039300,Sman__Smp_334130	6		unrooted split; no ancestry or duplication timing assigned
B0005	71.6/41	5	Hsap,Shae,Sjap,Sman	Hsap__GeneID_10612,Hsap__GeneID_23321,Shae__MS3_00006225,Sjap__EWB00_010731,Sman__Smp_039300	0		unrooted split; no ancestry or duplication timing assigned
B0006	94.1/96	2	Hsap	Hsap__GeneID_10612,Hsap__GeneID_23321	0		unrooted split; no ancestry or duplication timing assigned
B0007	100/100	3	Shae,Sjap,Sman	Shae__MS3_00006225,Sjap__EWB00_010731,Sman__Smp_039300	0		unrooted split; no ancestry or duplication timing assigned
B0008	73.9/81	2	Shae,Sman	Shae__MS3_00006225,Sman__Smp_039300	0		unrooted split; no ancestry or duplication timing assigned
B0009	100/99	4	Shae,Sjap,Sman	Shae__MS3_00007880,Sjap__EWB00_006606,Sjap__EWB00_006607,Sman__Smp_334130	0		unrooted split; no ancestry or duplication timing assigned
B0010	0/42	3	Shae,Sjap,Sman	Shae__MS3_00007880,Sjap__EWB00_006607,Sman__Smp_334130	0		unrooted split; no ancestry or duplication timing assigned
B0011	89.8/73	2	Shae,Sman	Shae__MS3_00007880,Sman__Smp_334130	0		unrooted split; no ancestry or duplication timing assigned
B0012	79.4/52	2	Hsap	Hsap__GeneID_80263,Hsap__GeneID_81844	0		unrooted split; no ancestry or duplication timing assigned
