sequence_id	species	length	candidate
Cele__WBGene00004215	Cele	2248	0
Dmel__GeneID_35259	Dmel	2032	0
Hsap__GeneID_5789	Hsap	1932	0
Hsap__GeneID_5792	Hsap	1922	0
Hsap__GeneID_5802	Hsap	1948	0
Mmus__GeneID_19266	Mmus	1966	0
Mmus__GeneID_19268	Mmus	1924	0
Mmus__GeneID_19280	Mmus	1907	0
Shae__MS3_00000599	Shae	1748	1
Shae__MS3_00002886	Shae	2381	1
Shae__MS3_00004247	Shae	2153	1
Sjap__EWB00_000603	Sjap	803	1
Sjap__EWB00_004939	Sjap	1131	0
Sjap__EWB00_009052	Sjap	1441	1
Sman__Smp_244080	Sman	2335	1
Sman__Smp_342880	Sman	2383	1
Sman__Smp_344760	Sman	1718	1
Xlae__GeneID_108711853	Xlae	2070	0
Xlae__GeneID_108714090	Xlae	1925	0
Xlae__GeneID_108715545	Xlae	1920	0
Xlae__GeneID_398160	Xlae	1924	0
Xlae__GeneID_398161	Xlae	1936	0
Xlae__GeneID_399155	Xlae	1940	0
