sequence_id	species	length	candidate
Cele__WBGene00000405	Cele	332	0
Dmel__GeneID_34411	Dmel	297	0
Dmel__GeneID_42453	Dmel	314	0
Hsap__GeneID_1017	Hsap	346	0
Hsap__GeneID_1018	Hsap	305	0
Hsap__GeneID_983	Hsap	297	0
Mmus__GeneID_12534	Mmus	297	0
Mmus__GeneID_12566	Mmus	346	0
Shae__MS3_00008679	Shae	410	1
Sjap__EWB00_003272	Sjap	409	1
Sman__Smp_080730	Sman	410	1
Xlae__GeneID_379785	Xlae	302	0
Xlae__GeneID_380246	Xlae	302	0
Xlae__GeneID_399314	Xlae	297	0
Xlae__GeneID_432036	Xlae	297	0
