sequence_id	species	length	candidate
Cele__WBGene00001173	Cele	783	0
Hsap__GeneID_5592	Hsap	686	0
Hsap__GeneID_5593	Hsap	762	0
Shae__MS3_00004279	Shae	1184	0
Shae__MS3_00004405	Shae	829	1
Shae__MS3_00008685	Shae	715	1
Shae__MS3_00008757	Shae	1029	0
Sjap__EWB00_000320	Sjap	686	1
Sjap__EWB00_005435	Sjap	1098	0
Sjap__EWB00_006936	Sjap	1050	0
Sjap__EWB00_008484	Sjap	905	0
Sman__Smp_078230	Sman	715	1
Sman__Smp_123290	Sman	1034	0
Sman__Smp_151100	Sman	906	0
Sman__Smp_168670	Sman	1183	0
