branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	95.9/93	3	Hsap	Hsap__GeneID_5566,Hsap__GeneID_5567,Hsap__GeneID_5568	0		unrooted split; no ancestry or duplication timing assigned
B0003	85/82	2	Hsap	Hsap__GeneID_5566,Hsap__GeneID_5567	0		unrooted split; no ancestry or duplication timing assigned
B0004	40.7/38	13	Shae,Sjap,Sman	Shae__MS3_00002636,Shae__MS3_00003633,Shae__MS3_00008673,Shae__MS3_00008682,Sjap__EWB00_004196,Sjap__EWB00_007512,Sjap__EWB00_007721,Sjap__EWB00_008993,Sman__Smp_085690,Sman__Smp_085700,Sman__Smp_152330,Sman__Smp_164380,Sman__Smp_307260	0		unrooted split; no ancestry or duplication timing assigned
B0005	89.2/56	10	Shae,Sjap,Sman	Shae__MS3_00002636,Shae__MS3_00003633,Shae__MS3_00008673,Sjap__EWB00_004196,Sjap__EWB00_007721,Sjap__EWB00_008993,Sman__Smp_085690,Sman__Smp_085700,Sman__Smp_152330,Sman__Smp_307260	0		unrooted split; no ancestry or duplication timing assigned
B0006	99.3/100	3	Shae,Sjap,Sman	Shae__MS3_00002636,Sjap__EWB00_007721,Sman__Smp_152330	0		unrooted split; no ancestry or duplication timing assigned
B0007	90.7/94	2	Shae,Sjap	Shae__MS3_00002636,Sjap__EWB00_007721	0		unrooted split; no ancestry or duplication timing assigned
B0008	92.7/67	7	Shae,Sjap,Sman	Shae__MS3_00003633,Shae__MS3_00008673,Sjap__EWB00_004196,Sjap__EWB00_008993,Sman__Smp_085690,Sman__Smp_085700,Sman__Smp_307260	0		unrooted split; no ancestry or duplication timing assigned
B0009	99.9/100	3	Shae,Sjap,Sman	Shae__MS3_00003633,Sjap__EWB00_004196,Sman__Smp_307260	0		unrooted split; no ancestry or duplication timing assigned
B0010	85.7/90	2	Sjap,Sman	Sjap__EWB00_004196,Sman__Smp_307260	0		unrooted split; no ancestry or duplication timing assigned
B0011	100/100	4	Shae,Sjap,Sman	Shae__MS3_00008673,Sjap__EWB00_008993,Sman__Smp_085690,Sman__Smp_085700	0		unrooted split; no ancestry or duplication timing assigned
B0012	99.6/100	3	Shae,Sman	Shae__MS3_00008673,Sman__Smp_085690,Sman__Smp_085700	0		unrooted split; no ancestry or duplication timing assigned
B0013	99/100	2	Sman	Sman__Smp_085690,Sman__Smp_085700	0		unrooted split; no ancestry or duplication timing assigned
B0014	100/100	3	Shae,Sjap,Sman	Shae__MS3_00008682,Sjap__EWB00_007512,Sman__Smp_164380	0		unrooted split; no ancestry or duplication timing assigned
B0015	91.7/97	2	Shae,Sman	Shae__MS3_00008682,Sman__Smp_164380	0		unrooted split; no ancestry or duplication timing assigned
