sequence_id	species	length	candidate
Cele__WBGene00002189	Cele	579	0
Dmel__GeneID_34284	Dmel	353	0
Hsap__GeneID_5566	Hsap	427	0
Hsap__GeneID_5567	Hsap	398	0
Hsap__GeneID_5568	Hsap	351	0
Mmus__GeneID_18747	Mmus	351	0
Mmus__GeneID_18749	Mmus	398	0
Shae__MS3_00002636	Shae	372	1
Shae__MS3_00003633	Shae	350	1
Shae__MS3_00008682	Shae	405	1
Sjap__EWB00_004196	Sjap	315	1
Sjap__EWB00_007512	Sjap	372	1
Sjap__EWB00_007721	Sjap	367	1
Sman__Smp_152330	Sman	350	1
Sman__Smp_164380	Sman	405	1
Sman__Smp_307260	Sman	350	1
Xlae__GeneID_100101276	Xlae	351	0
Xlae__GeneID_108711677	Xlae	383	0
Xlae__GeneID_108714187	Xlae	396	0
Xlae__GeneID_380388	Xlae	396	0
