sequence_id	species	length	candidate
Cele__WBGene00016354	Cele	1196	0
Dmel__GeneID_40553	Dmel	1390	0
Hsap__GeneID_1272	Hsap	1018	0
Hsap__GeneID_152330	Hsap	1026	0
Hsap__GeneID_27255	Hsap	1028	0
Hsap__GeneID_5067	Hsap	1028	0
Hsap__GeneID_53942	Hsap	1100	0
Hsap__GeneID_6900	Hsap	1187	0
Mmus__GeneID_12805	Mmus	1020	0
Mmus__GeneID_18488	Mmus	1028	0
Mmus__GeneID_21367	Mmus	1040	0
Mmus__GeneID_244682	Mmus	1434	0
Mmus__GeneID_269784	Mmus	1026	0
Mmus__GeneID_53870	Mmus	1028	0
Shae__MS3_00003925	Shae	1326	1
Sjap__EWB00_009360	Sjap	1166	1
Sman__Smp_176350	Sman	1326	1
Xlae__GeneID_108707575	Xlae	1098	0
Xlae__GeneID_108708146	Xlae	1033	0
Xlae__GeneID_108710006	Xlae	1099	0
Xlae__GeneID_108714621	Xlae	1028	0
Xlae__GeneID_378666	Xlae	1005	0
Xlae__GeneID_397710	Xlae	1009	0
Xlae__GeneID_432118	Xlae	1028	0
