sequence_id	species	length	candidate
Dmel__GeneID_35795	Dmel	461	0
Hsap__GeneID_100131244	Hsap	380	0
Hsap__GeneID_100310846	Hsap	418	0
Hsap__GeneID_157567	Hsap	232	0
Hsap__GeneID_92565	Hsap	371	0
Mmus__GeneID_383787	Mmus	390	0
Mmus__GeneID_66729	Mmus	421	0
Mmus__GeneID_66930	Mmus	344	0
Mmus__GeneID_68839	Mmus	228	0
Shae__MS3_00008656	Shae	348	0
Sjap__EWB00_004872	Sjap	351	1
Sman__Smp_147110	Sman	346	0
Xlae__GeneID_108695394	Xlae	253	0
Xlae__GeneID_108696122	Xlae	336	0
Xlae__GeneID_108699253	Xlae	328	0
Xlae__GeneID_108719343	Xlae	253	0
