sequence_id	species	length	candidate
Cele__WBGene00016038	Cele	421	0
Cele__WBGene00017472	Cele	497	0
Dmel__GeneID_37247	Dmel	669	0
Hsap__GeneID_6788	Hsap	580	0
Hsap__GeneID_6789	Hsap	487	0
Hsap__GeneID_80122	Hsap	1345	0
Mmus__GeneID_22625	Mmus	1515	0
Mmus__GeneID_56274	Mmus	497	0
Mmus__GeneID_58231	Mmus	487	0
Shae__MS3_00004635	Shae	628	1
Sjap__EWB00_002413	Sjap	604	1
Sman__Smp_333410	Sman	621	1
Xlae__GeneID_108701280	Xlae	1364	0
Xlae__GeneID_108719348	Xlae	493	0
Xlae__GeneID_398925	Xlae	485	0
Xlae__GeneID_432210	Xlae	493	0
Xlae__GeneID_779226	Xlae	485	0
