sequence_id	species	length	candidate
Cele__WBGene00008661	Cele	346	0
Cele__WBGene00009492	Cele	532	0
Cele__WBGene00010636	Cele	284	0
Cele__WBGene00011918	Cele	591	0
Cele__WBGene00015026	Cele	564	0
Cele__WBGene00015331	Cele	398	0
Cele__WBGene00015929	Cele	374	0
Cele__WBGene00016382	Cele	341	0
Cele__WBGene00016942	Cele	346	0
Cele__WBGene00018124	Cele	398	0
Cele__WBGene00018525	Cele	363	0
Cele__WBGene00018526	Cele	130	0
Cele__WBGene00018530	Cele	363	0
Cele__WBGene00018531	Cele	374	0
Cele__WBGene00020116	Cele	1238	0
Cele__WBGene00020117	Cele	1165	0
Cele__WBGene00020841	Cele	355	0
Cele__WBGene00021435	Cele	265	0
Cele__WBGene00021702	Cele	361	0
Cele__WBGene00022110	Cele	557	0
Cele__WBGene00022709	Cele	483	0
Cele__WBGene00022753	Cele	344	0
Hsap__GeneID_26095	Hsap	420	0
Hsap__GeneID_26191	Hsap	807	0
Hsap__GeneID_26469	Hsap	464	0
Hsap__GeneID_5770	Hsap	435	0
Hsap__GeneID_5771	Hsap	494	0
Hsap__GeneID_5780	Hsap	593	0
Hsap__GeneID_5782	Hsap	807	0
Shae__MS3_00003183	Shae	632	1
Shae__MS3_00009604	Shae	810	0
Shae__MS3_00011141	Shae	307	1
Sjap__EWB00_004785	Sjap	939	0
Sjap__EWB00_008528	Sjap	628	1
Sman__Smp_139930	Sman	628	1
Sman__Smp_343720	Sman	939	0
