branch_id	support_label	tip_count	species	tip_ids	direct_orthology_edges_within	exact_duplication_rows	interpretation
B0002	73.2/68	13	Hsap,Shae,Sjap,Sman,Xlae	Hsap__GeneID_3730,Shae__MS3_00006710,Shae__MS3_00006969,Shae__MS3_00010433,Sjap__EWB00_002345,Sjap__EWB00_003808,Sjap__EWB00_003810,Sjap__EWB00_010663,Sman__Smp_159450,Sman__Smp_311870,Sman__Smp_346250,Xlae__GeneID_108707973,Xlae__GeneID_108709163	30		unrooted split; no ancestry or duplication timing assigned
B0003	100/100	3	Hsap,Xlae	Hsap__GeneID_3730,Xlae__GeneID_108707973,Xlae__GeneID_108709163	0		unrooted split; no ancestry or duplication timing assigned
B0004	90.3/93	2	Xlae	Xlae__GeneID_108707973,Xlae__GeneID_108709163	0		unrooted split; no ancestry or duplication timing assigned
B0005	96.4/97	10	Shae,Sjap,Sman	Shae__MS3_00006710,Shae__MS3_00006969,Shae__MS3_00010433,Sjap__EWB00_002345,Sjap__EWB00_003808,Sjap__EWB00_003810,Sjap__EWB00_010663,Sman__Smp_159450,Sman__Smp_311870,Sman__Smp_346250	0		unrooted split; no ancestry or duplication timing assigned
B0006	87.1/84	7	Shae,Sjap,Sman	Shae__MS3_00006710,Shae__MS3_00006969,Sjap__EWB00_003808,Sjap__EWB00_003810,Sjap__EWB00_010663,Sman__Smp_311870,Sman__Smp_346250	0		unrooted split; no ancestry or duplication timing assigned
B0007	100/100	3	Shae,Sjap,Sman	Shae__MS3_00006710,Sjap__EWB00_010663,Sman__Smp_346250	0		unrooted split; no ancestry or duplication timing assigned
B0008	33.3/50	2	Sjap,Sman	Sjap__EWB00_010663,Sman__Smp_346250	0		unrooted split; no ancestry or duplication timing assigned
B0009	100/100	4	Shae,Sjap,Sman	Shae__MS3_00006969,Sjap__EWB00_003808,Sjap__EWB00_003810,Sman__Smp_311870	0		unrooted split; no ancestry or duplication timing assigned
B0010	81.7/77	2	Shae,Sman	Shae__MS3_00006969,Sman__Smp_311870	0		unrooted split; no ancestry or duplication timing assigned
B0011	97.2/99	2	Sjap	Sjap__EWB00_003808,Sjap__EWB00_003810	0		unrooted split; no ancestry or duplication timing assigned
B0012	100/100	3	Shae,Sjap,Sman	Shae__MS3_00010433,Sjap__EWB00_002345,Sman__Smp_159450	0		unrooted split; no ancestry or duplication timing assigned
B0013	94.6/99	2	Shae,Sman	Shae__MS3_00010433,Sman__Smp_159450	0		unrooted split; no ancestry or duplication timing assigned
