sequence_id	species	length	candidate
Cele__WBGene00004740	Cele	1421	0
Dmel__GeneID_32039	Dmel	2554	0
Dmel__GeneID_53425	Dmel	1701	0
Hsap__GeneID_238	Hsap	1620	0
Hsap__GeneID_4058	Hsap	864	0
Hsap__GeneID_6098	Hsap	2357	0
Mmus__GeneID_11682	Mmus	1621	0
Mmus__GeneID_17005	Mmus	888	0
Mmus__GeneID_19886	Mmus	2341	0
Shae__MS3_00010367	Shae	830	1
Sjap__EWB00_003063	Sjap	1074	1
Sman__Smp_011700	Sman	1100	1
Xlae__GeneID_108698980	Xlae	1263	0
Xlae__GeneID_108699739	Xlae	1323	0
Xlae__GeneID_108716096	Xlae	1633	0
Xlae__GeneID_108716156	Xlae	2233	0
Xlae__GeneID_108717382	Xlae	1269	0
Xlae__GeneID_121394155	Xlae	330	0
