sequence_id	species	length	candidate
Cele__WBGene00008311	Cele	773	0
Cele__WBGene00011352	Cele	804	0
Dmel__GeneID_33139	Dmel	911	0
Hsap__GeneID_27330	Hsap	762	0
Hsap__GeneID_6195	Hsap	744	0
Hsap__GeneID_6196	Hsap	761	0
Hsap__GeneID_6197	Hsap	746	0
Hsap__GeneID_8986	Hsap	772	0
Hsap__GeneID_9252	Hsap	802	0
Mmus__GeneID_110651	Mmus	740	0
Mmus__GeneID_20111	Mmus	741	0
Mmus__GeneID_20112	Mmus	733	0
Mmus__GeneID_56613	Mmus	773	0
Mmus__GeneID_67071	Mmus	860	0
Mmus__GeneID_73086	Mmus	863	0
Shae__MS3_00010396	Shae	693	1
Sjap__EWB00_002194	Sjap	828	1
Sman__Smp_340300	Sman	806	1
Xlae__GeneID_100037253	Xlae	766	0
Xlae__GeneID_108698451	Xlae	744	0
Xlae__GeneID_108698712	Xlae	782	0
Xlae__GeneID_108700150	Xlae	760	0
Xlae__GeneID_108709331	Xlae	737	0
Xlae__GeneID_108717877	Xlae	732	0
Xlae__GeneID_399376	Xlae	737	0
Xlae__GeneID_443729	Xlae	734	0
Xlae__GeneID_445821	Xlae	773	0
