sequence_id	species	length	candidate
Cele__WBGene00002181	Cele	700	0
Dmel__GeneID_42865	Dmel	525	0
Hsap__GeneID_3730	Hsap	680	0
Shae__MS3_00006710	Shae	897	1
Shae__MS3_00006969	Shae	792	1
Shae__MS3_00010433	Shae	1037	1
Sjap__EWB00_002345	Sjap	612	1
Sjap__EWB00_003808	Sjap	800	1
Sjap__EWB00_003810	Sjap	317	1
Sjap__EWB00_010663	Sjap	892	1
Sman__Smp_159450	Sman	1103	1
Sman__Smp_311870	Sman	799	1
Sman__Smp_346250	Sman	751	1
Xlae__GeneID_108707973	Xlae	682	0
Xlae__GeneID_108709163	Xlae	679	0
